year;month;ticker;c2c_mean_6m;ah_mean_6m;corr12;atr_pct_cc_21;sma_ratio_ah_252;reg_slope_r2_ah_252;intraday_vol_mean_42;ah_gap_vol_mean_63;reg_slope_ah_84;rsi_wilder_ah_25;sma_ratio_cc_200;reg_slope_cc_168;supertrend_dist_cc_10_3;reg_slope_r2_cc_168;rsi_wilder_cc_25;relative_volume_10;obv_slope_126;log_macd_histo_cc;stoch_rsi_ah;log_macd_histo_ah;stoch_rsi_cc
2000;1;AAPL;;;;;;;;;;;;;;;;;;;;;
2000;2;AAPL;-0.002534033835207023;0.00964057205791367;;;;;;;;;;;-0.20211261070490522;;;0.14015851206129382;;0.00508145936847468;;0.0009077192534371198;
2000;3;AAPL;0.0016031313095360405;0.005026670097825693;;0.05351300182388669;;;;;;35.871633283366066;;;-0.07420315225345889;;31.615914193490497;0.023417792303008556;;-0.0009378677811442103;0.41996009482890295;-0.006796373421820989;0.902578487611928
2000;4;AAPL;0.004230519263698403;0.001928641635728013;;0.05845554913556523;;;0.059094371290745296;;;34.48044849033988;;;0.11551746266258478;;48.14014789595917;0.051730662862798704;;-0.0013265537236425429;0.2969856042737972;-0.00752953022454703;0.5201223328179744
2000;5;AAPL;0.002400327909261497;0.0002095907109512412;0.5245650640004925;0.07932704621869055;;;0.07017889534670593;0.010454773765688085;;31.28654976261724;;;-0.13213832833969652;;47.222226373005654;-0.44398423075003746;;0.002290273751776357;0.06110561324563566;-0.005535811488858521;0.7958282330533132
2000;6;AAPL;-0.0017342630148468978;0.00106551449127098;0.5535635286124972;0.07789464758584458;;;0.06834125080622945;0.012037544588974724;-0.002518210220388275;51.312123591233934;;;-0.25038646795035663;;35.97206087120509;-0.16610112526580445;;-0.011959201164093672;0.8722089588344843;0.008645841104191138;0.04936051651204064
2000;7;AAPL;0.0005045842019750735;0.0022162762421572345;0.5665238306590201;0.06566071611427939;;;0.0653071122263034;0.012738161250986086;0.00030436569821105594;67.41673369140047;;;0.14286214950286585;;50.17594491027429;-0.008928847495009995;;0.012791058761179641;0.4311136925566412;0.002022595927807805;0.5319830675073507
2000;8;AAPL;0.0007948631835659976;0.0013960111317901224;0.544504967556019;0.06975925236850639;;;0.06582504196149838;0.012892854645295306;0.0037466038873378107;65.78916331476532;;;0.05443143474299002;;47.90946614346453;-0.4754314185029026;;-0.01540547438290996;0.4817275913385357;-0.002171506093734378;0.25009379404302173
2000;9;AAPL;0.0008355191084724084;0.0014143665978996495;0.5323834586628299;0.03843716616066198;;;0.05335647941414482;0.011210776306802263;0.004675506450298354;60.913862566215535;;-0.000733785763754475;0.12829838840351318;-6.542447487443845e-05;61.668493525934586;0.490807799442897;;0.02394194041447151;0.0;-0.002260167757220495;1.0
2000;10;AAPL;-0.0051220732975894865;-0.003143780853108994;0.4310605120314609;0.1899273416225242;;;0.05479736180565122;0.020310046991909903;0.0008691064515441779;15.013872061633691;;-0.0010024034896714072;-0.7928633180859969;-0.00013628212808500953;30.840039444810415;5.348383579859619;0.04797105686733868;-0.06383320709059752;0.0;-0.05761240728300018;0.0
2000;11;AAPL;-0.006108503432685815;-0.0006009971684268161;0.4145108434354549;0.0896095005480193;;;0.07482536372097555;0.023254075753082897;-0.00988202180418991;35.35131173428415;-0.6188016445084545;-0.004816075441795125;-0.28758108364217616;-0.002088687129358125;32.50314690003394;0.0878524416216182;-0.09874949297797671;0.02970710867887566;1.0;0.03746034067536411;1.0
2000;12;AAPL;-0.005255013000250653;-0.0008833907874802473;0.42688371942311915;0.07503602586757355;;;0.06997129665958099;0.02553061215205839;-0.010694971168606718;41.78786998079281;-0.6535380875827905;-0.006877524119021493;-0.23390706414918433;-0.0039507129103457;32.9024614660199;1.2079729003250006;-0.22946746842674973;0.0005937483002446675;0.2936279066120867;0.007478870624943042;0.0
2001;1;AAPL;-0.0075891561493281684;-0.0028386161063092634;0.42859359489461807;0.06502601745412423;-0.3313088623653123;-0.0004376015589083992;0.05616555790511709;0.019448782268563045;-0.006415361757772178;40.62796842459086;-0.6554036087847128;-0.008815647316699099;-0.15939018526327559;-0.005969394763064655;36.23484802265828;0.5991134978476751;-0.3107245908940579;0.015482722337582105;0.0;-0.004429296617465317;1.0
2001;2;AAPL;-0.0035726178059903367;-0.0021213467394805203;0.4502857488914608;0.06206979342296925;-0.20441378080213368;-0.0007179514859862177;0.06288007415637625;0.01956600546988057;0.002599721785879848;53.57934268247693;-0.43575396337152617;-0.009566784244364841;0.15818528436544776;-0.007040833759882668;57.435449741246224;-0.008650555835820306;-0.2833922542225646;0.019562713833942487;0.3043089843110821;0.0013488526483803782;0.9433472107073739
2001;3;AAPL;-0.006785979507448057;-0.0034854296316857696;0.45356540319622096;0.0669030575617589;-0.27173248173465936;-0.0008865607490763493;0.06420659595328757;0.01840657838963023;0.00032696459845822586;43.138398833466304;-0.47323352207468194;-0.00913737998760722;0.0025070398179874703;-0.006394609940915631;46.35520564900943;0.5042663643415479;-0.2032643710311168;-0.012049319053661411;0.478112825900934;-0.0036753095436782082;0.0
2001;4;AAPL;-0.00023707397043310597;0.000801946653490539;0.4740592137349644;0.06977752648001434;-0.34109099955064337;-0.0012398251130989167;0.0656129721867579;0.017225324393616934;-0.001921052636580134;37.334348609692206;-0.3065557857128316;-0.006855549254226649;0.1670514274824144;-0.0034353042976289286;54.999591181597985;-0.30628911105526224;0.012987336336152204;0.008365165894460493;0.5337321359667853;0.003054847373427025;0.46050868163518655
2001;5;AAPL;0.003254031837080277;0.0011088973035594028;0.48770826987222643;0.06869167991733177;-0.15770528828545927;-0.0015551226530274161;0.07189420973307278;0.01817210777570172;-0.0021561605746491354;61.07807729815806;-0.1154430217005481;-0.0037840927099007616;0.18373726021725595;-0.0008322177977591365;58.876439182382974;-0.3268383887945826;0.019917999236420524;0.011692767703129096;0.8461334251650537;0.015949437037885317;0.7545133809835688
2001;6;AAPL;0.002504259011746719;0.00029881712443350614;0.48510722090302316;0.061462884323538206;-0.17846167515107714;-0.0016095209601760592;0.0601794274076075;0.01747381076111527;0.000537794452995075;51.343308757139205;-0.22824480324885255;0.0014116311015140912;-0.18420652362327822;0.0002921603008076827;41.63881125724793;0.1616597069118224;0.008027483856492478;-0.02305252416098385;0.01655775074292401;-0.0064987051015682334;0.062179568608267434
2001;7;AAPL;0.004464026213636229;0.0009631799659871003;0.4739694047711843;0.052759545803056605;-0.12513879417596763;-0.0011615366209784634;0.0524469480995222;0.015573378548567014;0.002698079453650338;51.85069527442862;0.04751719575331781;0.0019932925624167614;0.13389122482730267;0.0008267479762899181;53.835746207048004;0.4019507335434467;-0.042235917426520636;0.01747402638706913;0.2787593164287798;-0.0031416785804078175;0.7692252984512921
2001;8;AAPL;-0.00025032096032573305;-0.0010624673155702215;0.4848375443612289;0.07577441927185684;-0.15816084777387573;-0.00062628121916968;0.05697766523678567;0.012877871288112798;0.0006519806752703467;43.32384087190985;-0.07378171611142736;0.0021868179557717783;-0.2110413653259349;0.0010270891639315553;42.02903388070471;-0.49543633714359914;-0.056636296291531274;-0.017626194362172748;0.5340443944518146;-0.0033210075077486217;0.08505142901185288
2001;9;AAPL;9.75691510718307e-05;0.00037179104858339176;0.49326591095489575;0.0409959754448828;-0.0843887931707955;-0.00011986953094971185;0.04934730788113177;0.01171871122632458;-0.001253443491846465;45.33528120889241;-0.07792733029120258;0.00026416175840461304;-0.09222868525032649;3.5772929775531242e-06;45.1415624625128;-0.05378335198096473;-0.07045933009534947;0.004702494367448119;0.22662356007397091;0.0005146325814221527;0.9251197712601424
2001;10;AAPL;-0.0020912542548572723;-0.00019490827769984675;0.49016053278406146;0.068343253542577;-0.1877329219740147;-1.2258181497899514e-05;0.04894287791276854;0.013968892563984247;-0.0027098266447842935;32.82627324386256;-0.22523561549691817;-0.0009411052251831806;-0.20462541899150347;-0.00013714729026008334;38.68436917502752;-0.08498786729671581;-0.07571818412060476;-0.007074157261610391;0.5723566775271365;-0.009641407848144386;0.29713807289341093
2001;11;AAPL;-0.002700499680693434;-0.0029988658865460344;0.6227811980760661;0.054371623858023195;-0.2531205193420969;-0.0002579203546808613;0.057086711263707964;0.012708280845708643;-0.0044737131713173325;31.90878857389569;-0.13345917175230004;-0.001830608340892107;0.08962701855569914;-0.0007839675821237558;48.892941455400376;-0.22980935875216635;-0.04811110181718795;-0.00045462978247230376;0.28133982193055546;0.0008004363466338135;0.0
2001;12;AAPL;0.0008186274314084283;-0.002569007669194632;0.627465023267801;0.042745304291383804;-0.2320450697584613;-0.0005735030401635649;0.05032133527390087;0.011891706247416116;-0.004681034199369919;38.162147377170875;0.051927549166257636;-0.0018869638050626907;0.14455559436802762;-0.0008687791434271682;60.13741740340107;0.17433217566295567;-0.002420442609203059;0.004605828761779784;0.6420996730253788;0.002749698510175657;0.714635350605475
2002;1;AAPL;-4.828966449559746e-05;-0.0032477461509132356;0.6323981024671711;0.047662919650713946;-0.25378021351867974;-0.0009231109741681954;0.0463150129243517;0.0090222675878559;-0.00355135032043692;36.587312708335446;0.06999251010851171;-0.0011325666325926467;0.0917551513027818;-0.0002007694265620306;56.00504789149802;-0.3116221811873986;0.028949319894334365;-0.001371995330440117;1.0;0.0014723893589674818;0.640062324483615
2002;2;AAPL;0.002312870284295527;-0.002955911439481123;0.6157645126508267;0.04066460141968535;-0.2333102613603878;-0.001185610175866036;0.043820568241687674;0.007980380265418805;-0.001821882416130176;44.14203568281193;0.1979311377766606;0.0002935761005680495;0.12558723470229366;4.15500215232037e-06;61.76813303578895;0.27757091846552817;0.08041507392138834;0.008848269613354266;0.5680003571944644;0.002037106620522292;1.0
2002;3;AAPL;0.002202895401502905;-0.002849414151149843;0.6192648984371757;0.05889816675289316;-0.21526857547816924;-0.0013380353524901916;0.04744892103236864;0.007854837846629678;-0.001460411047378313;48.37833386565349;0.05393250778637215;0.001130843623249175;-0.1741412549024937;0.0001926253862271409;46.56154637960132;0.08192826039683254;0.1054856069438649;-0.01367252880229077;1.0;0.003564867554102411;0.14812036630236672
2002;4;AAPL;0.003916656915042174;-0.0021080207454392272;0.6036724125187247;0.040718756942823155;-0.26738571751227;-0.0017926934401529245;0.04530601458874033;0.00807157260167197;-0.00131462044423346;32.476578270172936;0.13945775479159273;0.0023961240347925884;-0.07641940382488431;0.001673523072335581;50.45387644048015;-0.5918896308736854;0.08546097133781781;-0.006726761463925143;0.17750929077081343;-0.0072065863528360564;0.213357969805914
2002;5;AAPL;0.0030372779640829616;-0.001530988804058484;0.5666581207830849;0.0353166685812614;-0.27187327336358147;-0.0024799459293288815;0.03576950299509513;0.00712819778172272;-0.0021085708053741738;37.12361406494058;0.15287898638312325;0.0027538571067734596;-0.08187143440235815;0.0022320694218151533;50.60053430713754;-0.020743713257395324;0.044665636485429226;-0.006315147512538262;0.7827221116626499;0.003629232790981783;0.40957148609234423
2002;6;AAPL;0.0011844061583307418;-0.0016640408108346764;0.5924122612801024;0.045248698159667665;-0.24138666738955372;-0.0023756178398067467;0.03759892052891852;0.00827158200226951;-0.001774780320067466;40.820376865288885;0.08620526792992833;0.002228144901884703;0.04717414597059998;0.0016054112784985276;46.82789790293122;0.4348747532218562;-0.01258681460884519;-0.0037628491898700003;0.0;-0.004099381557926525;0.0
